경기번호,순서,나이,등급,이름,성별,체중,평균착순점,평균득점,평균ST,3연대율,2연대율,승률,최근8경기착순,평균사고점(종합),연간평균착순점,연간연대율,전일성적,1코스,2코스,3코스,4코스,5코스,6코스,출주횟수,보트평균착순점,보트연대율,보트번호,모터평균착순점,모터3연대율,모터2연대율,모터번호,금일출주경주,rank1,rank2,rank3
4,6,38,B2,김현덕,남,61,5.69,4.54,0.17,69.2,46.2,15.4,6133 1526,,0.0,0.0,,50.0/2,0.0/3,50.0/2,100.0/3,33.3/3,0.0/4,17,6.42,44.2,47,5.74,56.0,44.0,77,,2.0,5,6
5,1,33,B2,오상현,남,59,1.71,0.5,0.27,7.1,7.1,0.0,2565 6656,,0.0,0.0,,0.0/2,33.3/3,0.0/2,0.0/3,0.0/3,0.0/2,15,5.43,35.8,20,5.33,52.5,32.8,75,,3.0,2,1
5,2,39,A2,윤동오,남,60,5.29,5.07,0.23,57.1,35.7,14.3,2125 6253,,0.0,0.0,,75.0/4,50.0/2,33.3/6,0.0/4,25.0/4,0.0/4,24,5.79,42.1,26,5.92,64.0,50.0,19,12.0,3.0,2,1
5,3,34,B1,김경일,남,53,2.93,2.8,0.24,13.3,6.7,0.0,5664 5555,,0.0,0.0,,20.0/5,25.0/4,50.0/2,0.0/3,20.0/5,0.0/3,22,5.07,35.2,108,5.75,60.8,43.1,15,,3.0,2,1
5,4,37,B2,권혁민,남,54,2.43,2.14,0.35,14.3,0.0,0.0,6446 6636,,0.0,0.0,,33.3/3,0.0/4,0.0/4,0.0/4,0.0/4,0.0/4,23,4.34,20.5,70,5.73,62.5,35.4,40,,3.0,2,1
5,5,44,A2,구현구,남,64,5.21,4.64,0.21,57.1,21.4,14.3,1341 3453,,0.0,0.0,,50.0/2,66.7/3,50.0/2,33.3/3,0.0/3,0.0/3,16,5.27,32.1,80,5.53,55.1,32.7,51,11.0,3.0,2,1
5,6,35,A1,반혜진,여,52,6.57,6.43,0.22,78.6,42.9,7.1,1323 3234,,0.0,0.0,,60.0/5,50.0/4,100.0/4,0.0/3,25.0/4,33.3/3,23,5.25,38.6,8,6.56,69.2,48.7,78,13.0,3.0,2,1
6,1,59,A2,박석문,남,55,5.2,5.0,0.14,46.7,26.7,13.3,3454 2314,,0.0,0.0,,100.0/2,50.0/4,60.0/5,25.0/4,0.0/5,0.0/1,21,4.45,20.8,15,5.63,54.4,38.6,20,,3.0,4,1
6,2,28,B1,한준희,남,59,3.67,3.33,0.3,20.0,13.3,6.7,5565 4164,,0.0,0.0,,0.0/2,20.0/5,0.0/3,0.0/4,0.0/3,0.0/4,21,6.54,53.8,76,6.3,67.4,45.7,53,12.0,3.0,4,1
6,3,31,B2,손유정,여,55,2.29,2.07,0.24,14.3,0.0,0.0,3665 3566,,0.0,0.0,,0.0/3,0.0/5,0.0/4,0.0/4,0.0/2,0.0/4,22,5.29,30.8,92,6.24,62.7,45.1,80,,3.0,4,1
6,4,38,A1,문안나,여,48,6.57,6.57,0.19,71.4,50.0,21.4,4243 1221,,0.0,0.0,,20.0/5,50.0/4,100.0/2,60.0/5,40.0/5,33.3/3,24,4.46,30.8,4,6.07,54.3,47.8,66,,3.0,4,1
6,5,37,B2,이동준,남,56,6.35,5.29,0.24,70.6,47.1,11.8,3421 3222,,0.0,0.0,,100.0/2,50.0/2,33.3/3,33.3/3,33.3/3,50.0/2,15,5.63,38.5,90,7.64,83.3,64.3,74,,3.0,4,1
6,6,51,B1,권현기,남,59,4.25,4.03,0.26,31.3,18.8,6.3,3526 2165,,0.0,0.0,,66.7/3,33.3/3,20.0/5,66.7/3,33.3/3,0.0/5,22,4.87,31.1,62,5.87,59.6,42.6,138,14.0,3.0,4,1
7,1,48,B2,김효년,남,55,3.92,2.31,0.14,30.8,23.1,15.4,5535 6150,,0.0,0.0,,33.3/3,80.0/5,0.0/3,50.0/4,0.0/3,0.0/1,19,5.68,43.1,60,4.84,51.2,27.9,52,,1.0,5,4
7,2,40,A2,박설희,여,59,5.4,5.3,0.22,60.0,33.3,13.3,4522 6643,,0.0,0.0,,75.0/4,33.3/3,0.0/5,33.3/3,75.0/4,0.0/4,23,4.6,24.5,61,5.23,52.5,34.4,59,15.0,1.0,5,4
7,3,42,B1,송효석,남,55,4.43,4.07,0.23,50.0,14.3,14.3,5536 3534,,0.0,0.0,,25.0/4,20.0/5,50.0/2,25.0/4,25.0/4,0.0/4,23,5.37,34.1,37,5.17,45.8,32.2,82,1.0,1.0,5,4
7,4,42,B1,김승택,남,65,5.6,5.47,0.26,66.7,26.7,6.7,4623 2333,,0.0,0.0,,75.0/4,33.3/3,0.0/5,0.0/3,20.0/5,0.0/5,25,5.4,40.4,5,5.9,61.0,39.0,79,14.0,1.0,5,4
7,5,47,B2,나병창,남,57,5.13,5.07,0.24,53.3,33.3,6.7,6634 6322,,0.0,0.0,,50.0/2,33.3/3,0.0/3,50.0/2,0.0/2,33.3/3,15,5.97,43.2,11,5.92,64.0,44.0,144,,1.0,5,4
7,6,44,A1,어선규,남,57,7.33,6.67,0.19,91.7,58.3,16.7,2312 2212,,0.0,0.0,,75.0/4,60.0/5,75.0/4,66.7/3,100.0/3,0.0/3,22,5.31,36.4,30,6.33,59.5,50.0,86,,1.0,5,4
8,1,49,A2,이택근,남,60,6.5,6.38,0.15,68.8,50.0,31.3,4163 4132,,0.0,0.0,,50.0/4,66.7/3,20.0/5,40.0/5,25.0/4,33.3/3,24,4.78,32.7,48,5.11,52.4,31.7,91,1.0,3.0,2,6
8,2,49,B1,김기한,남,55,4.25,4.19,0.27,37.5,12.5,12.5,6335 3164,,0.0,0.0,,66.7/3,20.0/5,0.0/2,0.0/4,0.0/4,0.0/4,22,5.51,37.2,104,5.78,58.6,39.7,36,14.0,3.0,2,6
8,3,31,B2,전동욱,남,55,5.33,3.83,0.21,58.3,41.7,16.7,0316 1253,,0.0,0.0,,50.0/4,50.0/4,50.0/2,50.0/2,0.0/3,0.0/2,17,6.19,50.9,89,5.79,57.4,46.8,92,,3.0,2,6
8,4,34,B1,송효범,남,53,3.6,3.2,0.15,20.0,6.7,0.0,5244 5546,,0.0,0.0,,33.3/3,0.0/5,0.0/4,0.0/3,0.0/5,0.0/2,22,5.13,35.2,97,6.54,68.3,46.3,106,2.0,3.0,2,6
8,5,38,B1,최진혁,남,60,4.53,4.47,0.27,40.0,26.7,0.0,4462 6362,,0.0,0.0,,25.0/4,75.0/4,0.0/4,0.0/3,66.7/3,0.0/3,21,5.09,32.8,98,5.41,53.1,42.2,88,,3.0,2,6
8,6,39,A2,한종석,남,59,6.0,5.88,0.22,62.5,50.0,25.0,1651 2533,,0.0,0.0,,100.0/4,25.0/4,75.0/4,50.0/4,0.0/5,25.0/4,25,5.08,30.5,3,6.05,58.5,46.3,71,16.0,3.0,2,6
9,1,48,B1,김종목,남,55,5.6,5.47,0.25,66.7,33.3,13.3,3265 5314,,0.0,0.0,,60.0/5,25.0/4,33.3/3,0.0/3,20.0/5,0.0/3,23,4.64,23.0,14,5.14,51.8,28.6,65,2.0,4.0,2,5
9,2,32,B1,이지은,여,52,4.93,4.67,0.24,40.0,33.3,33.3,5511 1463,,0.0,0.0,,75.0/4,50.0/4,16.7/6,50.0/2,25.0/4,0.0/5,25,5.67,41.2,99,5.36,51.5,31.8,25,,4.0,2,5
9,3,30,B1,구남우,남,57,3.5,3.07,0.17,21.4,21.4,7.1,5146 4566,,0.0,0.0,,25.0/4,25.0/4,0.0/3,33.3/3,0.0/3,0.0/4,21,5.51,25.6,33,5.74,61.4,35.1,97,16.0,4.0,2,5
9,4,43,A1,김민길,남,55,6.73,6.67,0.26,66.7,53.3,33.3,1611 5534,,0.0,0.0,,100.0/4,60.0/5,40.0/5,40.0/5,25.0/4,60.0/5,28,4.27,22.4,34,6.55,67.5,55.0,98,15.0,4.0,2,5
9,5,42,B2,장수영,남,56,5.6,4.33,0.18,60.0,26.7,13.3,5432 4412,,0.0,0.0,,33.3/3,50.0/2,33.3/3,33.3/3,0.0/3,0.0/2,16,4.08,10.4,78,5.98,60.5,51.2,26,,4.0,2,5
9,6,50,A2,곽현성,남,55,4.67,4.13,0.27,40.0,20.0,13.3,3103 2145,,0.0,0.0,,66.7/3,0.0/3,0.0/3,0.0/4,25.0/4,33.3/3,20,4.65,26.7,7,5.85,62.5,39.6,31,1.0,4.0,2,5
10,1,45,A1,김종민,남,56,7.81,7.56,0.17,81.3,62.5,50.0,1213 1326,,0.0,0.0,,85.7/7,100.0/4,100.0/3,83.3/6,66.7/3,50.0/6,29,5.12,23.7,10,6.24,65.8,50.0,1,2.0,1.0,5,2
10,2,33,B1,이휘동,남,55,5.44,5.39,0.2,55.6,33.3,22.2,2114 2536,,0.0,0.0,,25.0/4,66.7/3,33.3/3,0.0/3,0.0/3,25.0/4,20,4.82,26.3,29,6.16,63.2,44.7,89,3.0,1.0,5,2
10,3,30,B2,조승민,남,55,3.43,3.43,0.3,28.6,14.3,7.1,6553 6245,,0.0,0.0,,0.0/4,0.0/2,25.0/4,0.0/2,0.0/2,0.0/3,17,6.71,57.8,55,4.73,49.0,23.5,60,,1.0,5,2
10,4,42,A2,정경호,남,55,6.14,6.07,0.22,57.1,42.9,14.3,2211 4424,,0.0,0.0,,100.0/4,40.0/5,40.0/5,75.0/4,40.0/5,25.0/4,27,4.43,21.3,73,5.91,57.4,42.6,8,,1.0,5,2
10,5,47,A1,정민수,남,60,7.62,7.08,0.27,84.6,61.5,46.2,3621 3114,,0.0,0.0,,100.0/4,50.0/2,100.0/3,25.0/4,75.0/4,0.0/4,21,5.03,30.5,102,4.89,50.8,31.7,114,16.0,1.0,5,2
10,6,34,B1,임태경,여,50,4.47,4.1,0.25,33.3,13.3,6.7,5541 4453,,0.0,0.0,,66.7/3,0.0/3,25.0/4,33.3/3,0.0/4,0.0/3,20,5.62,36.7,67,4.91,50.0,37.0,130,4.0,1.0,5,2
11,1,33,B2,신선길,남,59,1.44,1.19,0.26,0.0,0.0,0.0,5656 6566,,0.0,0.0,,0.0/4,0.0/3,0.0/4,0.0/3,0.0/4,0.0/3,21,4.52,25.9,49,4.79,46.4,32.1,27,,3.0,2,4
11,2,39,A2,이경섭,남,59,5.5,5.5,0.19,61.1,38.9,11.1,5226 5233,,0.0,0.0,,100.0/4,33.3/3,60.0/5,60.0/5,40.0/5,0.0/5,27,6.32,49.1,12,4.7,46.3,25.9,87,4.0,3.0,2,4
11,3,53,A2,권명호,남,58,7.59,7.35,0.25,94.1,70.6,23.5,2122 2123,,0.0,0.0,,50.0/4,66.7/3,80.0/5,33.3/3,66.7/3,33.3/3,21,6.39,45.7,101,4.7,41.3,28.6,96,,3.0,2,4
11,4,44,A2,구현구,남,64,5.21,4.64,0.21,57.1,21.4,14.3,1341 3453,,0.0,0.0,,50.0/2,66.7/3,50.0/2,33.3/3,0.0/3,0.0/3,16,5.27,32.1,80,5.53,55.1,32.7,51,5.0,3.0,2,4
11,5,35,B1,김지영,여,53,4.27,4.27,0.24,40.0,20.0,6.7,6325 4563,,0.0,0.0,,33.3/3,20.0/5,66.7/6,0.0/4,0.0/5,0.0/4,27,5.57,39.1,110,5.18,48.3,35.0,105,,3.0,2,4
11,6,56,B1,정인교,남,49,3.0,2.06,0.23,18.8,12.5,12.5,4616 5013,,0.0,0.0,,100.0/2,0.0/4,0.0/5,50.0/4,25.0/4,0.0/3,22,7.1,57.5,41,4.76,41.9,25.8,150,3.0,3.0,2,4
12,1,50,A1,이용세,남,56,7.25,7.13,0.16,81.3,56.3,18.8,2423 1242,,0.0,0.0,,100.0/3,60.0/5,50.0/8,80.0/5,50.0/4,25.0/4,29,5.74,40.0,21,5.08,50.8,31.7,62,3.0,1.0,4,6
12,2,51,B1,김국흠,남,61,6.2,6.13,0.28,66.7,46.7,26.7,5323 1411,,0.0,0.0,,80.0/5,50.0/4,50.0/6,0.0/3,0.0/4,25.0/4,26,4.16,20.6,81,5.58,51.2,39.5,7,,1.0,4,6
12,3,40,B2,이주영,여,55,5.37,5.11,0.23,57.9,31.6,15.8,2431 6301,,0.0,0.0,,100.0/1,100.0/1,0.0/1,0.0/1,0.0/1,0.0/1,6,5.43,40.7,96,5.95,61.4,47.7,24,,1.0,4,6
12,4,46,B2,김민천,남,56,6.53,5.4,0.22,66.7,46.7,40.0,5533 2350,,0.0,0.0,,33.3/3,0.0/2,66.7/3,33.3/3,66.7/3,66.7/3,17,5.4,34.3,87,4.73,42.9,32.7,110,,1.0,4,6
12,5,28,B1,한준희,남,59,3.67,3.33,0.3,20.0,13.3,6.7,5565 4164,,0.0,0.0,,0.0/2,20.0/5,0.0/3,0.0/4,0.0/3,0.0/4,21,6.54,53.8,76,6.3,67.4,45.7,53,6.0,1.0,4,6
12,6,39,A2,윤동오,남,60,5.29,5.07,0.23,57.1,35.7,14.3,2125 6253,,0.0,0.0,,75.0/4,50.0/2,33.3/6,0.0/4,25.0/4,0.0/4,24,5.79,42.1,26,5.92,64.0,50.0,19,5.0,1.0,4,6
13,1,30,B2,윤상선,남,66,1.94,1.76,0.26,5.9,5.9,0.0,6666 5552,,0.0,0.0,,25.0/4,0.0/4,0.0/4,0.0/3,0.0/2,0.0/4,21,6.13,45.8,35,4.74,45.7,28.3,141,,2.0,3,1
13,2,35,A1,반혜진,여,52,6.57,6.43,0.22,78.6,42.9,7.1,1323 3234,,0.0,0.0,,60.0/5,50.0/4,100.0/4,0.0/3,25.0/4,33.3/3,23,5.25,38.6,8,6.56,69.2,48.7,78,5.0,2.0,3,1
13,3,29,A2,정세혁,남,58,4.27,3.93,0.22,46.7,26.7,6.7,6532 3256,,0.0,0.0,,66.7/3,20.0/5,75.0/4,33.3/6,25.0/4,25.0/4,26,5.64,28.9,17,4.79,42.1,26.3,64,4.0,2.0,3,1
13,4,35,B2,전정환,남,58,5.15,5.0,0.22,46.2,30.8,7.7,6443 2512,,0.0,0.0,,66.7/3,0.0/3,50.0/2,33.3/3,25.0/4,50.0/2,17,4.97,34.8,106,5.25,49.1,34.5,42,,2.0,3,1
13,5,33,B2,서종원,남,58,2.21,1.0,0.3,14.3,7.1,7.1,3546 6661,,0.0,0.0,,0.0/3,33.3/3,33.3/3,0.0/3,50.0/2,0.0/2,16,5.83,42.9,32,5.31,54.8,30.6,127,,2.0,3,1
13,6,36,A1,서  휘,남,55,7.0,6.87,0.21,73.3,60.0,26.7,6412 1412,,0.0,0.0,,75.0/4,75.0/4,60.0/5,75.0/4,25.0/4,0.0/5,26,4.91,34.8,31,6.38,64.1,48.7,30,,2.0,3,1
14,1,51,B1,권현기,남,59,4.25,4.03,0.26,31.3,18.8,6.3,3526 2165,,0.0,0.0,,66.7/3,33.3/3,20.0/5,66.7/3,33.3/3,0.0/5,22,4.87,31.1,62,5.87,59.6,42.6,138,6.0,3.0,6,2
14,2,50,A2,김정구,남,55,4.5,4.38,0.23,37.5,31.3,0.0,5322 4224,,0.0,0.0,,33.3/3,40.0/5,0.0/4,50.0/4,100.0/4,25.0/4,24,4.5,25.0,100,4.94,49.0,26.5,5,,3.0,6,2
14,3,42,B1,김승택,남,65,5.6,5.47,0.26,66.7,26.7,6.7,4623 2333,,0.0,0.0,,75.0/4,33.3/3,0.0/5,0.0/3,20.0/5,0.0/5,25,5.4,40.4,5,5.9,61.0,39.0,79,7.0,3.0,6,2
14,4,34,B2,엄광호,남,64,3.5,3.07,0.22,21.4,14.3,14.3,1164 6446,,0.0,0.0,,25.0/4,0.0/3,0.0/2,0.0/5,0.0/2,20.0/5,21,6.05,48.8,91,5.49,57.1,34.9,85,,3.0,6,2
14,5,49,B1,김기한,남,55,4.25,4.19,0.27,37.5,12.5,12.5,6335 3164,,0.0,0.0,,66.7/3,20.0/5,0.0/2,0.0/4,0.0/4,0.0/4,22,5.51,37.2,104,5.78,58.6,39.7,36,8.0,3.0,6,2
14,6,46,A2,민영건,남,57,5.94,5.75,0.22,55.6,44.4,33.3,6116 6124,,0.0,0.0,,100.0/5,50.0/6,0.0/5,16.7/6,33.3/3,25.0/4,29,5.39,33.9,1,4.97,52.6,28.9,46,,3.0,6,2
15,1,28,B2,하서우,여,47,1.87,1.67,0.36,6.7,0.0,0.0,3556 6566,,0.0,0.0,,0.0/4,20.0/5,0.0/2,0.0/4,0.0/3,0.0/3,21,4.42,29.2,24,5.78,56.1,46.3,143,,3.0,4,6
15,2,38,A2,김선웅,남,63,6.64,6.36,0.19,85.7,50.0,21.4,2322 1603,,0.0,0.0,,33.3/3,0.0/3,33.3/3,16.7/6,25.0/4,25.0/4,23,6.19,41.9,9,5.0,45.0,30.0,94,,3.0,4,6
15,3,43,A1,김민길,남,55,6.73,6.67,0.26,66.7,53.3,33.3,1611 5534,,0.0,0.0,,100.0/4,60.0/5,40.0/5,40.0/5,25.0/4,60.0/5,28,4.84,34.4,71,6.55,67.5,55.0,98,9.0,3.0,4,6
15,4,42,B1,김희용,남,56,5.2,4.87,0.23,53.3,33.3,13.3,1614 2555,,0.0,0.0,,25.0/4,50.0/4,75.0/4,0.0/2,25.0/4,33.3/3,21,4.67,25.5,59,5.14,44.8,34.5,118,,3.0,4,6
15,5,40,A2,박설희,여,59,5.4,5.3,0.22,60.0,33.3,13.3,4522 6643,,0.0,0.0,,75.0/4,33.3/3,0.0/5,33.3/3,75.0/4,0.0/4,23,4.6,24.5,61,5.23,52.5,34.4,59,7.0,3.0,4,6
15,6,39,B2,강영길,남,61,5.92,5.69,0.17,61.5,38.5,30.8,1134 5155,,0.0,0.0,,0.0/1,33.3/3,66.7/3,50.0/2,0.0/3,0.0/3,15,4.84,27.9,64,5.41,55.6,40.7,54,,3.0,4,6
16,1,39,A2,한종석,남,59,6.0,5.88,0.22,62.5,50.0,25.0,1651 2533,,0.0,0.0,,100.0/4,25.0/4,75.0/4,50.0/4,0.0/5,25.0/4,25,5.08,30.5,3,6.05,58.5,46.3,71,8.0,1.0,4,2
16,2,47,A1,정민수,남,60,7.62,7.08,0.27,84.6,61.5,46.2,3621 3114,,0.0,0.0,,100.0/4,50.0/2,100.0/3,25.0/4,75.0/4,0.0/4,21,5.03,30.5,102,4.89,50.8,31.7,114,10.0,1.0,4,2
16,3,42,B2,김세원,남,59,4.64,3.5,0.21,35.7,28.6,14.3,4453 6415,,0.0,0.0,,50.0/2,50.0/2,66.7/3,0.0/2,0.0/3,0.0/1,13,5.94,42.9,45,5.32,53.2,27.7,134,,1.0,4,2
16,4,30,B1,구남우,남,57,3.5,3.07,0.17,21.4,21.4,7.1,5146 4566,,0.0,0.0,,25.0/4,25.0/4,0.0/3,33.3/3,0.0/3,0.0/4,21,5.51,25.6,33,5.74,61.4,35.1,97,9.0,1.0,4,2
16,5,37,B2,김도휘,남,58,6.0,6.0,0.25,60.0,46.7,13.3,2525 4342,,0.0,0.0,,0.0/2,66.7/3,66.7/3,66.7/3,0.0/4,50.0/2,17,4.32,20.0,23,5.62,50.8,37.7,142,,1.0,4,2
16,6,44,A1,박종덕,남,55,7.07,6.93,0.19,80.0,60.0,20.0,2312 2521,,0.0,0.0,,100.0/3,33.3/3,60.0/5,75.0/4,20.0/5,25.0/4,24,5.6,40.4,75,5.33,50.8,36.1,14,,1.0,4,2
1,1,36,A1,류석현,남,55,7.93,7.8,0.17,93.3,73.3,33.3,6323 1222,,0.0,0.0, 일03-1-3,100.0/3,57.1/7,75.0/4,60.0/5,50.0/6,20.0/5,30,5.51,41.9,6,4.68,46.0,27.0,2,7.0,1.0,5,3
1,2,50,B2,손근성,남,54,5.65,4.71,0.22,58.8,41.2,17.6,4263 1352,,0.0,0.0, 일01-4-5,66.7/3,66.7/3,100.0/2,0.0/3,0.0/2,0.0/2,15,4.26,25.6,19,4.96,50.0,34.0,132,,1.0,5,3
1,3,34,B1,임태경,여,50,4.47,4.1,0.25,33.3,13.3,6.7,5541 4453,,0.0,0.0," 일04-6-1, 일10-5-6",66.7/3,0.0/3,25.0/4,33.3/3,0.0/4,0.0/3,20,5.62,36.7,67,4.91,50.0,37.0,130,,1.0,5,3
1,4,46,A2,민영건,남,57,5.94,5.75,0.22,55.6,44.4,33.3,6116 6124,,0.0,0.0, 일14-2-6,100.0/5,50.0/6,0.0/5,16.7/6,33.3/3,25.0/4,29,5.39,33.9,1,4.97,52.6,28.9,46,8.0,1.0,5,3
1,5,53,A2,권명호,남,58,7.59,7.35,0.25,94.1,70.6,23.5,2122 2123,,0.0,0.0, 일11-1-3,50.0/4,66.7/3,80.0/5,33.3/3,66.7/3,33.3/3,21,6.39,45.7,101,4.7,41.3,28.6,96,10.0,1.0,5,3
1,6,48,B2,김효년,남,55,3.92,2.31,0.14,30.8,23.1,15.4,5535 6150,,0.0,0.0, 일07-1-1,33.3/3,80.0/5,0.0/3,50.0/4,0.0/3,0.0/1,19,5.68,43.1,60,4.84,51.2,27.9,52,,1.0,5,3
2,1,38,B2,김현덕,남,61,5.69,4.54,0.17,69.2,46.2,15.4,6133 1526,,0.0,0.0, 일04-3-6,50.0/2,0.0/3,50.0/2,100.0/3,33.3/3,0.0/4,17,6.42,44.2,47,5.74,56.0,44.0,77,,1.0,4,2
2,2,39,B2,강영길,남,61,5.92,5.69,0.17,61.5,38.5,30.8,1134 5155,,0.0,0.0, 일15-3-6,0.0/1,33.3/3,66.7/3,50.0/2,0.0/3,0.0/3,15,4.84,27.9,64,5.41,55.6,40.7,54,,1.0,4,2
