경기번호,순서,나이,등급,이름,성별,체중,평균착순점,평균득점,평균ST,3연대율,2연대율,승률,최근8경기착순,평균사고점(종합),연간평균착순점,연간연대율,전일성적,1코스,2코스,3코스,4코스,5코스,6코스,출주횟수,보트평균착순점,보트연대율,보트번호,모터평균착순점,모터3연대율,모터2연대율,모터번호,금일출주경주,rank1,rank2,rank3
1,1,50,A2,곽현성,남,55,4.67,4.13,0.27,40.0,20.0,13.3,3103 2145,,0.0,0.0,,66.7/3,0.0/3,0.0/3,0.0/4,25.0/4,33.3/3,20,4.65,26.7,7,5.85,62.5,39.6,31,9.0,3.0,1,4
1,2,35,B1,이  인,남,55,3.36,2.86,0.26,28.6,14.3,0.0,5623 4464,,0.0,0.0,,40.0/5,0.0/4,0.0/3,66.7/3,0.0/3,0.0/4,22,5.63,36.7,18,6.02,60.0,40.0,61,,3.0,1,4
1,3,54,B1,최재원,남,60,4.5,4.43,0.24,42.9,14.3,0.0,5625 3332,,0.0,0.0,,50.0/4,25.0/4,0.0/5,33.3/6,0.0/4,0.0/4,27,6.07,50.0,27,5.52,54.8,40.3,18,,3.0,1,4
1,4,42,B1,송효석,남,55,4.43,4.07,0.23,50.0,14.3,14.3,5536 3534,,0.0,0.0,,25.0/4,20.0/5,50.0/2,25.0/4,25.0/4,0.0/4,23,5.37,34.1,37,5.17,45.8,32.2,82,7.0,3.0,1,4
1,5,50,B2,손근성,남,54,5.65,4.71,0.22,58.8,41.2,17.6,4263 1352,,0.0,0.0,,66.7/3,66.7/3,100.0/2,0.0/3,0.0/2,0.0/2,15,4.26,25.6,19,4.96,50.0,34.0,132,,3.0,1,4
1,6,49,A2,이택근,남,60,6.5,6.38,0.15,68.8,50.0,31.3,4163 4132,,0.0,0.0,,50.0/4,66.7/3,20.0/5,40.0/5,25.0/4,33.3/3,24,4.78,32.7,48,5.11,52.4,31.7,91,8.0,3.0,1,4
2,1,28,A2,나종호,남,62,4.93,4.87,0.2,40.0,26.7,13.3,5623 1416,,0.0,0.0,,80.0/5,66.7/3,25.0/4,0.0/3,0.0/5,0.0/5,25,5.05,30.6,74,4.91,40.0,33.8,33,,1.0,4,6
2,2,35,B2,고정환,남,62,3.47,2.2,0.16,26.7,13.3,6.7,3156 6530,,0.0,0.0,,0.0/2,0.0/4,33.3/3,0.0/3,0.0/3,0.0/3,18,4.56,28.9,16,5.28,60.0,40.0,17,,1.0,4,6
2,3,34,B1,송효범,남,53,3.6,3.2,0.15,20.0,6.7,0.0,5244 5546,,0.0,0.0,,33.3/3,0.0/5,0.0/4,0.0/3,0.0/5,0.0/2,22,5.13,35.2,97,6.54,68.3,46.3,106,8.0,1.0,4,6
2,4,35,A2,김지현,여,51,6.38,5.97,0.22,56.3,43.8,43.8,3111 5045,,0.0,0.0,,75.0/4,75.0/4,25.0/4,25.0/4,50.0/4,33.3/3,23,5.58,34.6,79,5.83,56.9,37.9,21,,1.0,4,6
2,5,48,B1,김종목,남,55,5.6,5.47,0.25,66.7,33.3,13.3,3265 5314,,0.0,0.0,,60.0/5,25.0/4,33.3/3,0.0/3,20.0/5,0.0/3,23,4.64,26.8,85,5.14,51.8,28.6,65,9.0,1.0,4,6
2,6,45,A1,김종민,남,56,7.81,7.56,0.17,81.3,62.5,50.0,1213 1326,,0.0,0.0,,85.7/7,100.0/4,100.0/3,83.3/6,66.7/3,50.0/6,29,5.12,23.7,10,6.24,65.8,50.0,1,10.0,1.0,4,6
3,1,56,B1,정인교,남,49,3.0,2.06,0.23,18.8,12.5,12.5,4616 5013,,0.0,0.0,,100.0/2,0.0/4,0.0/5,50.0/4,25.0/4,0.0/3,22,7.1,57.5,41,4.76,41.9,25.8,150,11.0,3.0,6,1
3,2,34,B2,한유형,여,52,1.75,1.63,0.25,6.3,0.0,0.0,5665 5466,,0.0,0.0,,0.0/3,25.0/4,0.0/4,0.0/3,0.0/3,0.0/4,21,5.29,35.4,103,5.66,48.9,44.7,84,,3.0,6,1
3,3,36,A1,류석현,남,55,7.93,7.8,0.17,93.3,73.3,33.3,6323 1222,,0.0,0.0,,100.0/3,57.1/7,75.0/4,60.0/5,50.0/6,20.0/5,30,5.51,41.9,6,4.68,46.0,27.0,2,,3.0,6,1
3,4,53,B1,윤영근,남,58,4.56,4.56,0.2,37.5,25.0,25.0,3116 3466,,0.0,0.0,,20.0/5,100.0/3,40.0/5,0.0/5,0.0/5,0.0/4,27,5.31,36.4,25,4.75,46.7,28.3,124,,3.0,6,1
3,5,33,B1,이휘동,남,55,5.44,5.39,0.2,55.6,33.3,22.2,2114 2536,,0.0,0.0,,25.0/4,66.7/3,33.3/3,0.0/3,0.0/3,25.0/4,20,4.82,26.3,29,6.16,63.2,44.7,89,10.0,3.0,6,1
3,6,50,A1,이용세,남,56,7.25,7.13,0.16,81.3,56.3,18.8,2423 1242,,0.0,0.0,,100.0/3,60.0/5,50.0/8,80.0/5,50.0/4,25.0/4,29,5.74,40.0,21,5.08,50.8,31.7,62,12.0,3.0,6,1
4,1,34,B1,임태경,여,50,4.47,4.1,0.25,33.3,13.3,6.7,5541 4453,,0.0,0.0,,66.7/3,0.0/3,25.0/4,33.3/3,0.0/4,0.0/3,20,5.62,36.7,67,4.91,50.0,37.0,130,10.0,2.0,5,6
4,2,34,B1,이진우,남,53,4.35,4.0,0.26,41.2,23.5,11.8,6340 6216,,0.0,0.0,,75.0/4,100.0/4,25.0/4,0.0/4,25.0/4,0.0/7,27,5.68,39.3,51,5.15,51.6,30.6,115,,2.0,5,6
4,3,39,A2,이경섭,남,59,5.5,5.5,0.19,61.1,38.9,11.1,5226 5233,,0.0,0.0,,100.0/4,33.3/3,60.0/5,60.0/5,40.0/5,0.0/5,27,6.32,49.1,12,4.7,46.3,25.9,87,11.0,2.0,5,6
4,4,29,A2,정세혁,남,58,4.27,3.93,0.22,46.7,26.7,6.7,6532 3256,,0.0,0.0,,66.7/3,20.0/5,75.0/4,33.3/6,25.0/4,25.0/4,26,5.64,28.9,17,4.79,42.1,26.3,64,13.0,2.0,5,6
4,5,34,B1,염윤정,여,53,2.73,2.47,0.31,20.0,6.7,0.0,3566 5636,,0.0,0.0,,0.0/4,25.0/4,0.0/3,0.0/3,0.0/3,0.0/5,22,6.31,47.6,43,6.86,74.5,52.9,140,,2.0,5,6
