경기번호,순서,나이,등급,이름,성별,체중,평균착순점,평균득점,평균ST,3연대율,2연대율,승률,최근8경기착순,평균사고점(종합),연간평균착순점,연간연대율,전일성적,1코스,2코스,3코스,4코스,5코스,6코스,출주횟수,보트평균착순점,보트연대율,보트번호,모터평균착순점,모터3연대율,모터2연대율,모터번호,금일출주경주,rank1,rank2,rank3
1,1,29,B2,손유정,여,52,0.0,0.0,0.0,0.0,0.0,0.0, ,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,4.88,32.1,81,4.41,40.0,21.8,113,,3.0,1.0,6.0
1,2,31,B2,오상현,남,58,0.0,0.0,0.0,0.0,0.0,0.0, ,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,5.05,31.6,104,5.13,50.0,33.0,110,,3.0,1.0,6.0
1,3,26,B2,김보경,여,50,0.0,0.0,0.0,0.0,0.0,0.0, ,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,5.04,30.1,91,6.25,66.4,46.7,83,,3.0,1.0,6.0
1,4,26,B2,임지훈,남,57,0.0,0.0,0.0,0.0,0.0,0.0, ,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,5.46,37.0,92,5.58,53.6,39.7,31,,3.0,1.0,6.0
1,5,26,B2,이수빈,여,52,0.0,0.0,0.0,0.0,0.0,0.0, ,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,5.42,38.6,75,4.53,43.0,26.7,6,,3.0,1.0,6.0
1,6,27,B2,홍진수,남,55,0.0,0.0,0.0,0.0,0.0,0.0, ,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,5.15,32.8,55,4.97,51.3,29.9,141,,3.0,1.0,6.0
2,1,38,A1,심상철,남,56,7.89,6.94,0.17,77.8,72.2,66.7,1231 0111,,0.0,0.0,,80.0/10,100.0/2,75.0/4,57.1/7,100.0/3,0.0/2,28,5.88,37.7,7,4.89,46.3,29.1,28,13.0,1.0,6.0,4.0
2,2,52,A2,최재원,남,59,5.13,5.13,0.26,46.7,40.0,20.0,4512 2534,,0.0,0.0,,83.3/6,100.0/4,50.0/4,40.0/5,40.0/5,25.0/4,28,5.3,34.6,89,5.58,58.3,38.1,61,11.0,1.0,6.0,4.0
2,3,24,B2,박민영,여,41,3.22,3.0,0.29,16.7,11.1,5.6,2655 4555,,0.0,0.0,,0.0/3,75.0/4,0.0/4,0.0/5,0.0/4,0.0/5,25,5.59,38.3,2,4.92,47.8,31.5,153,,1.0,6.0,4.0
2,4,45,B1,오세준,남,62,4.65,4.53,0.18,35.3,23.5,11.8,6414 6332,,0.0,0.0,,83.3/6,33.3/6,20.0/5,25.0/4,20.0/5,0.0/5,31,4.97,29.2,9,5.19,52.4,32.5,54,10.0,1.0,6.0,4.0
2,5,47,B1,김기한,남,53,4.44,4.44,0.28,31.3,31.3,6.3,6465 4226,,0.0,0.0,,50.0/4,50.0/2,0.0/4,40.0/5,28.6/7,25.0/4,26,5.47,38.5,60,4.93,44.6,31.1,91,12.0,1.0,6.0,4.0
2,6,33,A1,한성근,남,57,6.6,6.4,0.21,66.7,53.3,13.3,5442 2523,,0.0,0.0,,100.0/4,83.3/6,40.0/5,100.0/4,25.0/4,40.0/5,28,5.6,38.4,23,5.77,58.1,39.5,158,9.0,1.0,6.0,4.0
3,1,48,B1,김정구,남,55,5.47,5.41,0.24,58.8,47.1,5.9,2532 5525,,0.0,0.0,,75.0/4,50.0/2,50.0/2,50.0/4,0.0/4,25.0/4,20,5.51,34.7,105,5.6,56.6,40.0,68,11.0,3.0,4.0,1.0
3,2,40,B1,김희용,남,57,4.44,4.39,0.28,38.9,22.2,16.7,1162 6536,,0.0,0.0,,80.0/5,33.3/6,50.0/6,14.3/7,25.0/4,0.0/4,32,5.49,35.4,67,4.9,52.0,29.1,47,13.0,3.0,4.0,1.0
