경기번호,순서,나이,등급,이름,성별,체중,평균착순점,평균득점,평균ST,3연대율,2연대율,승률,최근8경기착순,평균사고점(종합),연간평균착순점,연간연대율,전일성적,1코스,2코스,3코스,4코스,5코스,6코스,출주횟수,보트평균착순점,보트연대율,보트번호,모터평균착순점,모터3연대율,모터2연대율,모터번호,금일출주경주,rank1,rank2,rank3
1,1,43,A2,이응석,남,61,5.92,4.81,0.2,61.5,38.5,23.1,1264 0113,,0.0,0.0,,100.0/2,50.0/2,0.0/2,0.0/2,50.0/2,33.3/3,13,0.0,0.0,15,0.0,0.0,0.0,32,7.0,1,5.0,3
1,2,30,B2,기광서,남,57,2.54,2.42,0.24,15.4,0.0,0.0,6543 6365,,0.0,0.0,,0.0/3,0.0/3,0.0/5,0.0/3,0.0/4,0.0/4,22,0.0,0.0,16,0.0,0.0,0.0,94,,1,5.0,3
1,3,37,A2,김선필,남,56,6.63,6.5,0.27,68.8,43.8,18.8,2325 3414,,0.0,0.0,,75.0/4,20.0/5,50.0/4,0.0/4,50.0/4,20.0/5,26,0.0,0.0,67,0.0,0.0,0.0,88,,1,5.0,3
1,4,27,B2,한성근,남,55,1.77,0.65,0.3,0.0,0.0,0.0,0455 6505,,0.0,0.0,,0.0/2,0.0/2,0.0/2,0.0/2,0.0/3,0.0/2,13,0.0,0.0,33,0.0,0.0,0.0,41,8.0,1,5.0,3
1,5,33,A1,배혜민,남,55,6.83,6.61,0.23,66.7,55.6,27.8,5615 4142,,0.0,0.0,,80.0/5,50.0/4,50.0/4,50.0/4,100.0/4,33.3/3,24,0.0,0.0,53,0.0,0.0,0.0,76,9.0,1,5.0,3
1,6,43,B1,권현기,남,61,4.5,4.22,0.28,50.0,31.3,0.0,3245 6632,,0.0,0.0,,33.3/3,0.0/4,100.0/2,50.0/4,0.0/4,0.0/2,19,0.0,0.0,76,0.0,0.0,0.0,71,,1,5.0,3
2,1,29,B2,박애리,여,54,1.17,1.04,0.22,0.0,0.0,0.0,6656 6666,,0.0,0.0,,0.0/3,0.0/3,0.0/2,0.0/2,0.0/3,0.0/3,16,0.0,0.0,59,0.0,0.0,0.0,83,,3,5.0,2
2,2,43,A1,김국흠,남,58,6.16,5.74,0.29,52.6,31.6,26.3,3216 4434,,0.0,0.0,,80.0/5,66.7/6,50.0/6,71.4/7,20.0/5,33.3/6,35,0.0,0.0,37,0.0,0.0,0.0,17,11.0,3,5.0,2
2,3,30,A1,정주현,남,51,7.33,7.22,0.22,83.3,61.1,33.3,2132 2141,,0.0,0.0,,83.3/6,75.0/4,75.0/4,80.0/5,25.0/4,40.0/5,28,0.0,0.0,47,0.0,0.0,0.0,34,,3,5.0,2
2,4,28,B2,유석현,남,55,1.5,0.18,0.23,7.1,0.0,0.0,0666 3566,,0.0,0.0,,0.0/2,0.0/1,0.0/2,0.0/2,0.0/2,0.0/2,11,0.0,0.0,79,0.0,0.0,0.0,100,,3,5.0,2
