경기번호,순서,나이,등급,이름,성별,체중,평균착순점,평균득점,평균ST,3연대율,2연대율,승률,최근8경기착순,평균사고점(종합),연간평균착순점,연간연대율,전일성적,1코스,2코스,3코스,4코스,5코스,6코스,출주횟수,보트평균착순점,보트연대율,보트번호,모터평균착순점,모터3연대율,모터2연대율,모터번호,금일출주경주,rank1,rank2,rank3
1,1,44,A2,원용관,남,59,5.2,5.02,0.31,50.0,35.0,15.0,4612 4211,,0.0,0.0,,50.0/6,40.0/5,60.0/5,50.0/4,33.3/6,0.0/5,31,4.25,18.3,26,5.8,58.0,39.1,16,10.0,2.0,6.0,4.0
1,2,43,B2,길현태,남,59,4.14,4.07,0.24,42.9,21.4,0.0,6532 4642,,0.0,0.0,,25.0/4,50.0/4,40.0/5,33.3/3,33.3/3,20.0/5,24,6.18,51.0,102,6.99,76.5,54.4,138,8.0,2.0,6.0,4.0
1,3,23,B2,박민영,여,42,2.07,0.96,0.3,7.1,7.1,0.0,5656 6556,,0.0,0.0,,66.7/3,0.0/3,0.0/4,0.0/2,0.0/4,0.0/1,17,5.89,43.7,71,4.61,40.5,26.6,3,,2.0,6.0,4.0
1,4,37,A1,손동민,남,53,7.29,7.05,0.23,76.5,58.8,41.2,1323 1511,,0.0,0.0,,100.0/6,66.7/6,16.7/6,66.7/3,25.0/4,40.0/5,30,5.46,38.2,88,3.92,30.3,19.7,62,9.0,2.0,6.0,4.0
1,5,36,B1,강영길,남,64,4.95,4.84,0.23,31.6,26.3,15.8,2444 1162,,0.0,0.0,,33.3/3,25.0/4,25.0/4,0.0/5,25.0/4,0.0/4,24,4.36,25.0,85,4.67,45.2,24.7,69,,2.0,6.0,4.0
1,6,26,B1,박원규,남,56,3.63,3.58,0.26,21.1,5.3,5.3,4434 4441,,0.0,0.0,,71.4/7,14.3/7,50.0/6,16.7/6,25.0/4,0.0/6,36,5.46,33.8,51,6.2,65.6,42.2,83,16.0,2.0,6.0,4.0
2,1,33,A2,정훈민,남,57,4.87,4.77,0.21,40.0,33.3,20.0,6611 1545,,0.0,0.0,,0.0/3,66.7/3,60.0/5,50.0/4,0.0/5,25.0/4,24,5.66,42.3,87,6.89,71.4,55.4,122,12.0,1.0,3.0,5.0
2,2,47,B1,손근성,남,54,3.88,3.82,0.28,29.4,5.9,0.0,2453 4345,,0.0,0.0,,37.5/8,57.1/7,16.7/6,0.0/6,20.0/5,12.5/8,40,5.48,36.9,39,7.11,70.9,54.5,155,,1.0,3.0,5.0
2,3,48,B1,김창규,남,59,4.81,4.65,0.23,56.3,12.5,0.0,5333 6242,,0.0,0.0,,40.0/5,50.0/6,0.0/3,0.0/6,0.0/6,0.0/3,29,6.44,46.7,41,6.56,72.6,50.0,81,11.0,1.0,3.0,5.0
2,4,53,B1,정인교,남,49,4.69,4.66,0.25,43.8,25.0,6.3,2634 5624,,0.0,0.0,,40.0/5,80.0/5,28.6/7,20.0/5,0.0/5,0.0/5,32,5.72,44.4,23,3.55,28.3,13.3,19,10.0,1.0,3.0,5.0
