경기번호,순서,나이,등급,이름,성별,체중,평균착순점,평균득점,평균ST,3연대율,2연대율,승률,최근8경기착순,평균사고점(종합),연간평균착순점,연간연대율,전일성적,1코스,2코스,3코스,4코스,5코스,6코스,출주횟수,보트평균착순점,보트연대율,보트번호,모터평균착순점,모터3연대율,모터2연대율,모터번호,금일출주경주,rank1,rank2,rank3
4,4,37,B2,최진혁,남,62,4.75,4.5,18.24,25.0,25.0,25.0,4554 1154,,0.0,0.0,,0.0/1,00.0/0,0.0/1,0.0/1,00.0/0,0.0/1,4,2.5,0.0,86,5.0,50.0,0.0,48,,5,1,6.0
4,5,30,B2,구본선,남,57,4.0,3.5,18.61,16.7,16.7,0.0,5524 4435,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,0.0,0.0,37,3.5,50.0,0.0,105,,5,1,6.0
4,6,50,A1,이태희,남,58,8.0,7.67,18.3,100.0,66.7,33.3,1233 1213,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,3.0,0.0,14,1.5,0.0,0.0,2,,5,1,6.0
5,1,37,B2,박준현,남,57,6.0,6.0,18.77,71.4,42.9,0.0,5224 3326,,0.0,0.0,,100.0/1,00.0/0,00.0/0,00.0/0,00.0/0,0.0/1,2,3.0,0.0,25,5.0,66.7,33.3,54,,1,4,3.0
5,2,45,A2,민영건,남,58,7.0,7.0,18.5,83.3,33.3,33.3,1433 1322,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,3.0,0.0,85,5.0,50.0,50.0,98,,1,4,3.0
5,3,39,B2,손동민,남,53,6.57,6.57,18.5,71.4,57.1,14.3,1534 2225,,0.0,0.0,,100.0/1,00.0/0,00.0/0,00.0/0,00.0/0,0.0/1,2,0.0,0.0,83,3.0,0.0,0.0,116,,1,4,3.0
5,4,58,B2,박석문,남,56,2.71,2.29,18.59,14.3,14.3,14.3,1665 6553,,0.0,0.0,,00.0/0,00.0/0,100.0/1,0.0/1,00.0/0,00.0/0,2,9.0,100.0,52,5.33,33.3,33.3,88,,1,4,3.0
5,5,36,B2,권혁민,남,53,3.43,3.43,18.73,14.3,14.3,0.0,4624 4655,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,9.0,100.0,84,3.33,33.3,0.0,16,,1,4,3.0
5,6,38,A2,이경섭,남,64,6.83,6.67,18.48,83.3,50.0,33.3,2116 3321,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,7.0,50.0,3,2.5,0.0,0.0,29,,1,4,3.0
6,1,34,B1,김지영,여,52,5.75,5.75,18.2,62.5,37.5,25.0,5312 5135,,0.0,0.0,,100.0/1,0.0/1,00.0/0,00.0/0,00.0/0,50.0/2,4,0.0,0.0,4,1.5,0.0,0.0,118,,3,1,2.0
6,2,41,A2,김승택,남,67,4.13,4.13,18.19,37.5,25.0,25.0,6153 6165,,0.0,0.0,,0.0/1,00.0/0,100.0/1,00.0/0,0.0/2,00.0/0,4,0.0,0.0,5,4.0,50.0,0.0,129,,3,1,2.0
6,3,33,B2,김민준,남,56,6.0,6.0,18.63,66.7,16.7,16.7,1433 4331,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,10.0,100.0,104,1.5,0.0,0.0,94,,3,1,2.0
6,4,38,B1,강영길,남,63,4.0,3.88,18.38,25.0,25.0,12.5,5465 2146,,0.0,0.0,,00.0/0,0.0/1,0.0/1,0.0/1,0.0/1,00.0/0,4,3.0,0.0,6,1.5,0.0,0.0,8,,3,1,2.0
6,5,43,A2,구현구,남,65,1.86,1.86,18.74,0.0,0.0,0.0,6555 4660,,0.0,0.0,,00.0/0,00.0/0,0.0/1,00.0/0,0.0/1,00.0/0,2,1.5,0.0,107,5.33,66.7,33.3,149,,3,1,2.0
6,6,33,B2,이진우,남,55,4.71,4.71,18.08,42.9,28.6,14.3,2614 5533,,0.0,0.0,,0.0/1,00.0/0,00.0/0,00.0/0,00.0/0,100.0/1,2,4.5,50.0,88,5.0,50.0,0.0,113,,3,1,2.0
7,1,39,A1,김완석,남,56,6.9,6.9,0.18,66.7,47.6,42.9,3512 4341,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,8.0,50.0,55,5.0,50.0,0.0,96,1.0,1,2,3.0
7,2,34,A2,반혜진,여,51,5.44,5.22,0.21,55.6,38.9,16.7,4616 5334,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,0.0,0.0,100,5.0,50.0,50.0,27,2.0,1,2,3.0
7,3,50,B1,권현기,남,60,4.06,4.0,0.28,31.3,25.0,6.3,4543 5256,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,4.5,50.0,7,3.0,0.0,0.0,147,1.0,1,2,3.0
7,4,43,B1,이종인,남,58,5.21,5.07,0.29,57.1,28.6,14.3,5143 5553,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,0.0,0.0,20,3.0,0.0,0.0,25,2.0,1,2,3.0
7,5,41,A2,송효석,남,55,7.29,7.24,0.23,82.4,58.8,29.4,2133 2162,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,1.5,0.0,50,2.5,0.0,0.0,60,2.0,1,2,3.0
7,6,45,A2,길현태,남,59,6.22,5.83,0.19,66.7,55.6,27.8,1511 6230,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,4.0,0.0,78,3.0,0.0,0.0,14,1.0,1,2,3.0
8,1,43,B1,강지환,남,62,5.18,4.94,0.22,47.1,35.3,17.6,3225 5445,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,1.5,0.0,81,1.5,0.0,0.0,44,3.0,2,6,5.0
8,2,36,A1,김도휘,남,58,7.13,7.0,0.19,66.7,60.0,40.0,4211 4421,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,8.0,100.0,46,1.5,0.0,0.0,93,1.0,2,6,5.0
8,3,31,A1,김인혜,여,49,6.8,6.8,0.19,66.7,53.3,40.0,1111 2554,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,4.5,50.0,98,2.0,0.0,0.0,103,2.0,2,6,5.0
8,4,52,B1,윤영근,남,54,4.8,4.6,0.23,33.3,33.3,26.7,5144 5461,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,2.0,0.0,80,4.5,50.0,50.0,45,2.0,2,6,5.0
8,5,42,A2,김민길,남,59,6.83,6.78,0.23,72.2,61.1,38.9,5326 2211,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,100.0/1,00.0/0,1,7.0,50.0,87,4.0,50.0,0.0,114,3.0,2,6,5.0
8,6,36,A1,김응선,남,55,6.75,5.69,0.17,75.0,56.3,25.0,1241 5433,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,5.33,33.3,94,4.0,0.0,0.0,110,1.0,2,6,5.0
1,1,45,A2,민영건,남,58,7.0,7.0,18.5,83.3,33.3,33.3,1433 1322,,0.0,0.0, 온05-4-2,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,3.0,0.0,85,5.0,50.0,50.0,98,8.0,4,1,6.0
1,2,36,A2,손지영,여,55,6.67,6.58,18.58,66.7,50.0,33.3,1154 3246,,0.0,0.0, 온04-2-1,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,6.0,0.0,102,1.5,0.0,0.0,91,7.0,4,1,6.0
1,3,41,A2,김승택,남,67,4.13,4.13,18.19,37.5,25.0,25.0,6153 6165,,0.0,0.0, 온06-3-2,0.0/1,00.0/0,100.0/1,00.0/0,0.0/2,00.0/0,4,0.0,0.0,5,4.0,50.0,0.0,129,7.0,4,1,6.0
1,4,52,A1,김현철,남,55,6.17,6.17,18.46,66.7,50.0,16.7,2612 3412,,0.0,0.0, 온03-2-5,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,6.67,33.3,96,4.0,50.0,0.0,26,8.0,4,1,6.0
1,5,34,B1,전정환,남,56,5.71,5.71,18.23,57.1,42.9,28.6,1552 3514,,0.0,0.0, 온03-3-3,100.0/1,00.0/0,00.0/0,00.0/0,00.0/0,0.0/1,2,4.0,0.0,10,2.5,0.0,0.0,127,7.0,4,1,6.0
1,6,50,B1,권현기,남,60,3.38,3.38,18.54,12.5,12.5,0.0,4565 2544,,0.0,0.0," 온01-6-4, 일07-3-3",0.0/1,00.0/0,00.0/0,00.0/0,00.0/0,0.0/1,2,4.5,50.0,7,3.0,0.0,0.0,147,,4,1,6.0
2,1,38,A2,이경섭,남,64,6.83,6.67,18.48,83.3,50.0,33.3,2116 3321,,0.0,0.0, 온05-5-6,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,7.0,50.0,3,2.5,0.0,0.0,29,7.0,2,4,6.0
2,2,34,B1,이  인,남,57,5.0,5.0,18.46,57.1,28.6,0.0,4236 2532,,0.0,0.0, 온01-3-3,00.0/0,100.0/1,00.0/0,00.0/0,0.0/1,00.0/0,2,7.33,33.3,82,5.0,50.0,50.0,85,8.0,2,4,6.0
2,3,50,A1,이태희,남,58,8.0,7.67,18.3,100.0,66.7,33.3,1233 1213,,0.0,0.0, 온04-3-6,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,3.0,0.0,14,1.5,0.0,0.0,2,8.0,2,4,6.0
2,4,45,A1,김민천,남,58,6.75,6.75,18.12,75.0,50.0,25.0,3311 2245,,0.0,0.0, 온02-2-6,100.0/1,00.0/0,00.0/0,0.0/1,50.0/2,00.0/0,4,1.5,0.0,77,3.0,50.0,0.0,52,7.0,2,4,6.0
2,5,38,B1,강영길,남,63,4.0,3.88,18.38,25.0,25.0,12.5,5465 2146,,0.0,0.0, 온06-4-4,00.0/0,0.0/1,0.0/1,0.0/1,0.0/1,00.0/0,4,3.0,0.0,6,1.5,0.0,0.0,8,7.0,2,4,6.0
2,6,31,A1,김인혜,여,49,8.29,8.29,18.27,100.0,71.4,42.9,1123 3121,,0.0,0.0," 온02-출제(면책)-4, 일08-6-3",00.0/0,00.0/0,100.0/1,100.0/1,00.0/0,00.0/0,2,4.5,50.0,98,2.0,0.0,0.0,103,,2,4,6.0
3,1,42,A2,김민길,남,59,7.71,7.71,18.7,85.7,57.1,57.1,5313 1112,,0.0,0.0," 온03-실격-2, 일08-3-5",0.0/1,00.0/0,0.0/1,00.0/0,00.0/0,00.0/0,2,7.0,50.0,87,4.0,50.0,0.0,114,,2,1,3.0
3,2,30,B2,구본선,남,57,4.0,3.5,18.61,16.7,16.7,0.0,5524 4435,,0.0,0.0, 온04-1-5,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,0.0,0.0,37,3.5,50.0,0.0,105,,2,1,3.0
3,3,35,A1,정훈민,남,56,3.63,3.5,18.29,37.5,0.0,0.0,6344 3366,,0.0,0.0, 온03-1-1,00.0/0,00.0/0,0.0/2,0.0/1,0.0/1,00.0/0,4,6.0,33.3,57,3.0,0.0,0.0,24,8.0,2,1,3.0
3,4,43,A2,구현구,남,65,1.86,1.86,18.74,0.0,0.0,0.0,6555 4660,,0.0,0.0, 온06-6-5,00.0/0,00.0/0,0.0/1,00.0/0,0.0/1,00.0/0,2,1.5,0.0,107,5.33,66.7,33.3,149,8.0,2,1,3.0
3,5,39,A1,김완석,남,56,7.67,7.56,18.35,77.8,77.8,44.4,1112 6241,,0.0,0.0," 온01-1-6, 일07-1-1",00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,8.0,50.0,55,5.0,50.0,0.0,96,,2,1,3.0
3,6,37,B2,박준현,남,57,6.0,6.0,18.77,71.4,42.9,0.0,5224 3326,,0.0,0.0, 온05-1-1,100.0/1,00.0/0,00.0/0,00.0/0,00.0/0,0.0/1,2,3.0,0.0,25,5.0,66.7,33.3,54,,2,1,3.0
4,1,33,B2,이진우,남,55,4.71,4.71,18.08,42.9,28.6,14.3,2614 5533,,0.0,0.0, 온06-5-6,0.0/1,00.0/0,00.0/0,00.0/0,00.0/0,100.0/1,2,4.5,50.0,88,5.0,50.0,0.0,113,,6,1,3.0
4,2,36,B2,권혁민,남,53,3.43,3.43,18.73,14.3,14.3,0.0,4624 4655,,0.0,0.0, 온05-6-5,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,9.0,100.0,84,3.33,33.3,0.0,16,,6,1,3.0
4,3,37,B2,최진혁,남,62,4.75,4.5,18.24,25.0,25.0,25.0,4554 1154,,0.0,0.0, 온04-6-4,0.0/1,00.0/0,0.0/1,0.0/1,00.0/0,0.0/1,4,2.5,0.0,86,5.0,50.0,0.0,48,,6,1,3.0
4,4,43,B1,강지환,남,62,3.5,2.83,18.67,16.7,16.7,16.7,0446 5131,,0.0,0.0," 온03-5-6, 일08-4-1",00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,1.5,0.0,81,1.5,0.0,0.0,44,,6,1,3.0
4,5,47,B2,윤영일,남,58,2.67,2.25,18.87,16.7,0.0,0.0,5563 4636,,0.0,0.0, 온04-5-2,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,2.0,0.0,24,5.0,50.0,0.0,101,,6,1,3.0
4,6,43,B1,이종인,남,58,5.67,5.5,18.22,50.0,33.3,33.3,5531 4136,,0.0,0.0," 온02-4-3, 일07-5-4",00.0/0,0.0/1,00.0/0,0.0/1,00.0/0,00.0/0,2,0.0,0.0,20,3.0,0.0,0.0,25,,6,1,3.0
5,1,36,A1,김도휘,남,58,7.11,6.89,18.08,66.7,55.6,44.4,4211 1531,,0.0,0.0," 온01-2-5, 일08-1-2",00.0/0,100.0/1,0.0/1,100.0/1,100.0/1,00.0/0,4,8.0,100.0,46,1.5,0.0,0.0,93,,4,5,6.0
5,2,37,B1,김현덕,남,63,5.5,5.38,18.15,50.0,25.0,12.5,3452 4341,,0.0,0.0, 온04-4-3,00.0/0,100.0/1,0.0/1,0.0/1,00.0/0,0.0/1,4,7.0,50.0,89,5.0,50.0,50.0,56,,4,5,6.0
5,3,33,B2,엄광호,남,67,1.88,1.88,18.77,12.5,0.0,0.0,6666 5653,,0.0,0.0, 온03-4-4,0.0/1,0.0/1,0.0/1,00.0/0,0.0/1,00.0/0,4,7.0,50.0,49,1.67,0.0,0.0,70,,4,5,6.0
5,4,33,B2,김민준,남,56,6.0,6.0,18.63,66.7,16.7,16.7,1433 4331,,0.0,0.0, 온06-1-3,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,10.0,100.0,104,1.5,0.0,0.0,94,,4,5,6.0
5,5,45,A2,길현태,남,59,5.17,5.17,18.67,50.0,33.3,16.7,4513 2634,,0.0,0.0," 온01-4-1, 일07-4-6",00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,4.0,0.0,78,3.0,0.0,0.0,14,,4,5,6.0
5,6,41,A2,송효석,남,55,7.5,7.5,17.97,87.5,62.5,25.0,2133 4122,,0.0,0.0," 온02-5-1, 일07-6-5",0.0/1,100.0/1,00.0/0,00.0/0,100.0/1,0.0/1,4,1.5,0.0,50,2.5,0.0,0.0,60,,4,5,6.0
6,1,34,A2,반혜진,여,51,6.67,6.67,18.65,83.3,33.3,16.7,3421 3323,,0.0,0.0," 온02-1-5, 일07-2-2",00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,0.0,0.0,100,5.0,50.0,50.0,27,,1,2,4.0
6,2,58,B2,박석문,남,56,2.71,2.29,18.59,14.3,14.3,14.3,1665 6553,,0.0,0.0, 온05-2-4,00.0/0,00.0/0,100.0/1,0.0/1,00.0/0,00.0/0,2,9.0,100.0,52,5.33,33.3,33.3,88,,1,2,4.0
6,3,36,A1,김응선,남,55,6.0,6.0,18.55,71.4,57.1,14.3,2212 6362,,0.0,0.0," 온01-5-2, 일08-2-6",00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,5.33,33.3,94,4.0,0.0,0.0,110,,1,2,4.0
6,4,39,B2,손동민,남,53,6.57,6.57,18.5,71.4,57.1,14.3,1534 2225,,0.0,0.0, 온05-3-3,100.0/1,00.0/0,00.0/0,00.0/0,00.0/0,0.0/1,2,0.0,0.0,83,3.0,0.0,0.0,116,,1,2,4.0
6,5,52,B1,윤영근,남,54,5.33,5.17,18.51,50.0,50.0,16.7,1664 2235,,0.0,0.0," 온02-3-2, 일08-5-4",00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,2.0,0.0,80,4.5,50.0,50.0,45,,1,2,4.0
6,6,34,B1,김지영,여,52,5.75,5.75,18.2,62.5,37.5,25.0,5312 5135,,0.0,0.0, 온06-2-1,100.0/1,0.0/1,00.0/0,00.0/0,00.0/0,50.0/2,4,0.0,0.0,4,1.5,0.0,0.0,118,,1,2,4.0
7,1,45,A1,김민천,남,58,7.44,7.33,0.25,77.8,55.6,38.9,3131 1144,,0.0,0.0, 온02-2-6,00.0/0,00.0/0,100.0/1,00.0/0,00.0/0,00.0/0,1,1.5,0.0,77,3.0,50.0,0.0,52,2.0,1,3,5.0
7,2,38,A2,이경섭,남,64,7.05,6.79,0.2,84.2,47.4,21.1,3313 2324,,0.0,0.0, 온05-5-6,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,7.0,50.0,3,2.5,0.0,0.0,29,2.0,1,3,5.0
7,3,38,B1,강영길,남,63,4.06,3.94,0.2,37.5,25.0,0.0,5465 2646,,0.0,0.0, 온06-4-4,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,3.0,0.0,6,1.5,0.0,0.0,8,2.0,1,3,5.0
7,4,34,B1,전정환,남,56,5.25,5.25,0.25,50.0,37.5,18.8,1521 4655,,0.0,0.0, 온03-3-3,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,4.0,0.0,10,2.5,0.0,0.0,127,1.0,1,3,5.0
7,5,41,A2,김승택,남,67,5.47,5.18,0.22,52.9,47.1,29.4,6153 2605,,0.0,0.0, 온06-3-2,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,0.0,0.0,5,4.0,50.0,0.0,129,1.0,1,3,5.0
7,6,36,A2,손지영,여,55,5.63,5.31,0.24,62.5,37.5,25.0,2165 3450,,0.0,0.0, 온04-2-1,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,6.0,0.0,102,1.5,0.0,0.0,91,1.0,1,3,5.0
8,1,50,A1,이태희,남,58,7.7,7.5,0.25,85.0,65.0,35.0,3421 2411,,0.0,0.0, 온04-3-6,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,3.0,0.0,14,1.5,0.0,0.0,2,2.0,1,6,4.0
8,2,43,A2,구현구,남,65,5.61,5.44,0.24,61.1,33.3,16.7,6552 3434,,0.0,0.0, 온06-6-5,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,1.5,0.0,107,5.33,66.7,33.3,149,3.0,1,6,4.0
8,3,52,A1,김현철,남,55,6.59,6.59,0.22,68.2,50.0,36.4,2515 3112,,0.0,0.0, 온03-2-5,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,6.67,33.3,96,4.0,50.0,0.0,26,1.0,1,6,4.0
8,4,34,B1,이  인,남,57,3.59,3.59,0.28,35.3,11.8,0.0,4253 4366,,0.0,0.0, 온01-3-3,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,7.33,33.3,82,5.0,50.0,50.0,85,2.0,1,6,4.0
8,5,45,A2,민영건,남,58,5.78,5.56,0.19,55.6,27.8,22.2,3443 2143,,0.0,0.0, 온05-4-2,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,3.0,0.0,85,5.0,50.0,50.0,98,1.0,1,6,4.0
8,6,35,A1,정훈민,남,56,5.33,5.23,0.24,60.0,26.7,6.7,6344 4632,,0.0,0.0, 온03-1-1,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,6.0,33.3,57,3.0,0.0,0.0,24,3.0,1,6,4.0
1,1,42,A2,박정아,여,51,4.86,4.86,18.37,57.1,28.6,0.0,5523 5232,,0.0,0.0,,00.0/0,00.0/0,0.0/1,0.0/1,00.0/0,00.0/0,2,5.0,0.0,42,7.0,100.0,50.0,141,7.0,1,6,4.0
1,2,47,B1,사재준,남,62,4.5,4.5,18.68,33.3,33.3,0.0,6454 2232,,0.0,0.0,,0.0/1,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,1,6.0,50.0,16,6.0,50.0,50.0,76,8.0,1,6,4.0
1,3,50,B1,황만주,남,61,4.5,4.5,18.51,37.5,25.0,12.5,6642 1354,,0.0,0.0,,0.0/1,100.0/1,00.0/0,00.0/0,0.0/1,0.0/1,4,1.0,0.0,34,10.0,100.0,100.0,79,7.0,1,6,4.0
1,4,48,B1,김기한,남,55,5.83,5.83,18.68,50.0,50.0,16.7,4224 1636,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,6.0,50.0,35,8.0,100.0,100.0,120,8.0,1,6,4.0
1,5,37,A1,김태규,남,57,6.57,6.57,18.39,71.4,57.1,28.6,2151 2352,,0.0,0.0,,100.0/1,100.0/1,00.0/0,00.0/0,00.0/0,00.0/0,2,4.75,25.0,26,6.0,50.0,50.0,64,7.0,1,6,4.0
