경기번호,순서,나이,등급,이름,성별,체중,평균착순점,평균득점,평균ST,3연대율,2연대율,승률,최근8경기착순,평균사고점(종합),연간평균착순점,연간연대율,전일성적,1코스,2코스,3코스,4코스,5코스,6코스,출주횟수,보트평균착순점,보트연대율,보트번호,모터평균착순점,모터3연대율,모터2연대율,모터번호,금일출주경주,rank1,rank2,rank3
1,1,45,A2,길현태,남,59,5.17,5.17,18.67,50.0,33.3,16.7,4513 2634,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,4.0,0.0,78,3.0,0.0,0.0,14,7.0,6,5,3.0
1,2,36,A1,김응선,남,55,6.0,6.0,18.55,71.4,57.1,14.3,2212 6362,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,5.33,33.3,94,4.0,0.0,0.0,110,8.0,6,5,3.0
1,3,34,B1,이  인,남,57,5.0,5.0,18.46,57.1,28.6,0.0,4236 2532,,0.0,0.0,,00.0/0,100.0/1,00.0/0,00.0/0,0.0/1,00.0/0,2,7.33,33.3,82,5.0,50.0,50.0,85,,6,5,3.0
1,4,50,B1,권현기,남,60,3.38,3.38,18.54,12.5,12.5,0.0,4565 2544,,0.0,0.0,,0.0/1,00.0/0,00.0/0,00.0/0,00.0/0,0.0/1,2,4.5,50.0,7,3.0,0.0,0.0,147,7.0,6,5,3.0
1,5,36,A1,김도휘,남,58,7.11,6.89,18.08,66.7,55.6,44.4,4211 1531,,0.0,0.0,,00.0/0,100.0/1,0.0/1,100.0/1,100.0/1,00.0/0,4,8.0,100.0,46,1.5,0.0,0.0,93,8.0,6,5,3.0
1,6,39,A1,김완석,남,56,7.67,7.56,18.35,77.8,77.8,44.4,1112 6241,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,8.0,50.0,55,5.0,50.0,0.0,96,7.0,6,5,3.0
2,1,41,A2,송효석,남,55,7.5,7.5,17.97,87.5,62.5,25.0,2133 4122,,0.0,0.0,,0.0/1,100.0/1,00.0/0,00.0/0,100.0/1,0.0/1,4,1.5,0.0,50,2.5,0.0,0.0,60,7.0,5,6,2.0
2,2,52,B1,윤영근,남,54,5.33,5.17,18.51,50.0,50.0,16.7,1664 2235,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,2.0,0.0,80,4.5,50.0,50.0,45,8.0,5,6,2.0
2,3,43,B1,이종인,남,58,5.67,5.5,18.22,50.0,33.3,33.3,5531 4136,,0.0,0.0,,00.0/0,0.0/1,00.0/0,0.0/1,00.0/0,00.0/0,2,0.0,0.0,20,3.0,0.0,0.0,25,7.0,5,6,2.0
2,4,31,A1,김인혜,여,49,8.29,8.29,18.27,100.0,71.4,42.9,1123 3121,,0.0,0.0,,00.0/0,00.0/0,100.0/1,100.0/1,00.0/0,00.0/0,2,4.5,50.0,98,2.0,0.0,0.0,103,8.0,5,6,2.0
2,5,34,A2,반혜진,여,51,6.67,6.67,18.65,83.3,33.3,16.7,3421 3323,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,0.0,0.0,100,5.0,50.0,50.0,27,7.0,5,6,2.0
2,6,45,A1,김민천,남,58,6.75,6.75,18.12,75.0,50.0,25.0,3311 2245,,0.0,0.0,,100.0/1,00.0/0,00.0/0,0.0/1,50.0/2,00.0/0,4,1.5,0.0,77,3.0,50.0,0.0,52,,5,6,2.0
3,1,35,A1,정훈민,남,56,3.63,3.5,18.29,37.5,0.0,0.0,6344 3366,,0.0,0.0,,00.0/0,00.0/0,0.0/2,0.0/1,0.0/1,00.0/0,4,6.0,33.3,57,3.0,0.0,0.0,24,,1,5,3.0
3,2,42,A2,김민길,남,59,7.71,7.71,18.7,85.7,57.1,57.1,5313 1112,,0.0,0.0,,0.0/1,00.0/0,0.0/1,00.0/0,00.0/0,00.0/0,2,7.0,50.0,87,4.0,50.0,0.0,38,8.0,1,5,3.0
3,3,34,B1,전정환,남,56,5.71,5.71,18.23,57.1,42.9,28.6,1552 3514,,0.0,0.0,,100.0/1,00.0/0,00.0/0,00.0/0,00.0/0,0.0/1,2,4.0,0.0,10,2.5,0.0,0.0,127,,1,5,3.0
3,4,33,B2,엄광호,남,67,1.88,1.88,18.77,12.5,0.0,0.0,6666 5653,,0.0,0.0,,0.0/1,0.0/1,0.0/1,00.0/0,0.0/1,00.0/0,4,7.0,50.0,49,1.67,0.0,0.0,70,,1,5,3.0
3,5,52,A1,김현철,남,55,6.17,6.17,18.46,66.7,50.0,16.7,2612 3412,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,6.67,33.3,96,4.0,50.0,0.0,26,,1,5,3.0
3,6,43,B1,강지환,남,62,3.5,2.83,18.67,16.7,16.7,16.7,0446 5131,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,1.5,0.0,81,1.5,0.0,0.0,44,8.0,1,5,3.0
4,1,36,A2,손지영,여,55,6.67,6.58,18.58,66.7,50.0,33.3,1154 3246,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,6.0,0.0,102,1.5,0.0,0.0,91,,5,1,6.0
4,2,47,B2,윤영일,남,58,2.67,2.25,18.87,16.7,0.0,0.0,5563 4636,,0.0,0.0,,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,0,2.0,0.0,24,5.0,50.0,0.0,101,,5,1,6.0
4,3,37,B1,김현덕,남,63,5.5,5.38,18.15,50.0,25.0,12.5,3452 4341,,0.0,0.0,,00.0/0,100.0/1,0.0/1,0.0/1,00.0/0,0.0/1,4,7.0,50.0,89,5.0,50.0,50.0,56,,5,1,6.0
